key_id,season_id,season,tier,division,subdivision,winner,count_teams
89,S-1929-2,1929,2,Second Division,None,Blackpool,22
90,S-1929-3-N,1929,3,Third Division,North,Port Vale,22
91,S-1929-3-S,1929,3,Third Division,South,Plymouth Argyle,22
92,S-1930-1,1930,1,First Division,None,Arsenal,22
93,S-1930-2,1930,2,Second Division,None,Everton,22
94,S-1930-3-N,1930,3,Third Division,North,Chesterfield,22
95,S-1930-3-S,1930,3,Third Division,South,Notts County,22
96,S-1931-1,1931,1,First Division,None,Everton,22
97,S-1931-2,1931,2,Second Division,None,Wolverhampton Wanderers,22
98,S-1931-3-N,1931,3,Third Division,North,Lincoln City,22
99,S-1931-3-S,1931,3,Third Division,South,Fulham,22
100,S-1932-1,1932,1,First Division,None,Arsenal,22
101,S-1932-2,1932,2,Second Division,None,Stoke City,22
102,S-1932-3-N,1932,3,Third Division,North,Hull City,22
103,S-1932-3-S,1932,3,Third Division,South,Brentford,22
104,S-1933-1,1933,1,First Division,None,Arsenal,22
105,S-1933-2,1933,2,Second Division,None,Grimsby Town,22
106,S-1933-3-N,1933,3,Third Division,North,Barnsley,22
107,S-1933-3-S,1933,3,Third Division,South,Norwich City,22
108,S-1934-1,1934,1,First Division,None,Arsenal,22
109,S-1934-2,1934,2,Second Division,None,Brentford,22
110,S-1934-3-N,1934,3,Third Division,North,Doncaster Rovers,22
111,S-1934-3-S,1934,3,Third Division,South,Charlton Athletic,22
112,S-1935-1,1935,1,First Division,None,Sunderland,22
113,S-1935-2,1935,2,Second Division,None,Manchester United,22
114,S-1935-3-N,1935,3,Third Division,North,Chesterfield,22
115,S-1935-3-S,1935,3,Third Division,South,Coventry City,22
116,S-1936-1,1936,1,First Division,None,Manchester City,22
117,S-1936-2,1936,2,Second Division,None,Leicester City,22
118,S-1936-3-N,1936,3,Third Division,North,Stockport County,22
119,S-1936-3-S,1936,3,Third Division,South,Luton Town,22
120,S-1937-1,1937,1,First Division,None,Arsenal,22
121,S-1937-2,1937,2,Second Division,None,Aston Villa,22
122,S-1937-3-N,1937,3,Third Division,North,Tranmere Rovers,22
123,S-1937-3-S,1937,3,Third Division,South,Millwall,22
124,S-1938-1,1938,1,First Division,None,Everton,22
125,S-1938-2,1938,2,Second Division,None,Blackburn Rovers,22
126,S-1938-3-N,1938,3,Third Division,North,Barnsley,22
127,S-1938-3-S,1938,3,Third Division,South,Newport County,22
128,S-1946-1,1946,1,First Division,None,Liverpool,22
129,S-1946-2,1946,2,Second Division,None,Manchester City,22
130,S-1946-3-N,1946,3,Third Division,North,Doncaster Rovers,22
131,S-1946-3-S,1946,3,Third Division,South,Cardiff City,22
132,S-1947-1,1947,1,First Division,None,Arsenal,22
133,S-1947-2,1947,2,Second Division,None,Birmingham City,22
134,S-1947-3-N,1947,3,Third Division,North,Lincoln City,22
135,S-1947-3-S,1947,3,Third Division,South,Queens Park Rangers,22
136,S-1948-1,1948,1,First Division,None,Portsmouth,22
137,S-1948-2,1948,2,Second Division,None,Fulham,22
138,S-1948-3-N,1948,3,Third Division,North,Hull City,22
139,S-1948-3-S,1948,3,Third Division,South,Swansea Town,22
140,S-1949-1,1949,1,First Division,None,Portsmouth,22
141,S-1949-2,1949,2,Second Division,None,Tottenham Hotspur,22
142,S-1949-3-N,1949,3,Third Division,North,Doncaster Rovers,22
143,S-1949-3-S,1949,3,Third Division,South,Notts County,22
144,S-1950-1,1950,1,First Division,None,Tottenham Hotspur,22
145,S-1950-2,1950,2,Second Division,None,Preston North End,22
146,S-1950-3-N,1950,3,Third Division,North,Rotherham United,24
147,S-1950-3-S,1950,3,Third Division,South,Nottingham Forest,24
148,S-1951-1,1951,1,First Division,None,Manchester United,22
149,S-1951-2,1951,2,Second Division,None,Sheffield Wednesday,22
150,S-1951-3-N,1951,3,Third Division,North,Lincoln City,24
151,S-1951-3-S,1951,3,Third Division,South,Plymouth Argyle,24
152,S-1952-1,1952,1,First Division,None,Arsenal,22
153,S-1952-2,1952,2,Second Division,None,Sheffield United,22
154,S-1952-3-N,1952,3,Third Division,North,Oldham Athletic,24
155,S-1952-3-S,1952,3,Third Division,South,Bristol Rovers,24
156,S-1953-1,1953,1,First Division,None,Wolverhampton Wanderers,22
157,S-1953-2,1953,2,Second Division,None,Leicester City,22
158,S-1953-3-N,1953,3,Third Division,North,Port Vale,24
159,S-1953-3-S,1953,3,Third Division,South,Ipswich Town,24
160,S-1954-1,1954,1,First Division,None,Chelsea,22
161,S-1954-2,1954,2,Second Division,None,Birmingham City,22
162,S-1954-3-N,1954,3,Third Division,North,Barnsley,24
163,S-1954-3-S,1954,3,Third Division,South,Bristol City,24
164,S-1955-1,1955,1,First Division,None,Manchester United,22
165,S-1955-2,1955,2,Second Division,None,Sheffield Wednesday,22
166,S-1955-3-N,1955,3,Third Division,North,Grimsby Town,24
167,S-1955-3-S,1955,3,Third Division,South,Leyton Orient,24
168,S-1956-1,1956,1,First Division,None,Manchester United,22
169,S-1956-2,1956,2,Second Division,None,Leicester City,22
170,S-1956-3-N,1956,3,Third Division,North,Derby County,24
171,S-1956-3-S,1956,3,Third Division,South,Ipswich Town,24
172,S-1957-1,1957,1,First Division,None,Wolverhampton Wanderers,22
173,S-1957-2,1957,2,Second Division,None,West Ham United,22
174,S-1957-3-N,1957,3,Third Division,North,Scunthorpe United,24
175,S-1957-3-S,1957,3,Third Division,South,Brighton & Hove Albion,24
176,S-1958-1,1958,1,First Division,None,Wolverhampton Wanderers,22
177,S-1958-2,1958,2,Second Division,None,Sheffield Wednesday,22
178,S-1958-3,1958,3,Third Division,None,Plymouth Argyle,24
179,S-1958-4,1958,4,Fourth Division,None,Port Vale,24
180,S-1959-1,1959,1,First Division,None,Burnley,22
181,S-1959-2,1959,2,Second Division,None,Aston Villa,22
182,S-1959-3,1959,3,Third Division,None,Southampton,24
183,S-1959-4,1959,4,Fourth Division,None,Walsall,24
184,S-1960-1,1960,1,First Division,None,Tottenham Hotspur,22
185,S-1960-2,1960,2,Second Division,None,Ipswich Town,22
186,S-1960-3,1960,3,Third Division,None,Bury,24
187,S-1960-4,1960,4,Fourth Division,None,Peterborough United,24
188,S-1961-1,1961,1,First Division,None,Ipswich Town,22
189,S-1961-2,1961,2,Second Division,None,Liverpool,22
190,S-1961-3,1961,3,Third Division,None,Portsmouth,24
191,S-1961-4,1961,4,Fourth Division,None,Millwall,23
192,S-1962-1,1962,1,First Division,None,Everton,22
193,S-1962-2,1962,2,Second Division,None,Stoke City,22
194,S-1962-3,1962,3,Third Division,None,Northampton Town,24
195,S-1962-4,1962,4,Fourth Division,None,Brentford,24
196,S-1963-1,1963,1,First Division,None,Liverpool,22
197,S-1963-2,1963,2,Second Division,None,Leeds United,22
198,S-1963-3,1963,3,Third Division,None,Coventry City,24
199,S-1963-4,1963,4,Fourth Division,None,Gillingham,24
200,S-1964-1,1964,1,First Division,None,Manchester United,22
201,S-1964-2,1964,2,Second Division,None,Newcastle United,22
202,S-1964-3,1964,3,Third Division,None,Carlisle United,24
203,S-1964-4,1964,4,Fourth Division,None,Brighton & Hove Albion,24
204,S-1965-1,1965,1,First Division,None,Liverpool,22
205,S-1965-2,1965,2,Second Division,None,Manchester City,22
206,S-1965-3,1965,3,Third Division,None,Hull City,24
207,S-1965-4,1965,4,Fourth Division,None,Doncaster Rovers,24
208,S-1966-1,1966,1,First Division,None,Manchester United,22
209,S-1966-2,1966,2,Second Division,None,Coventry City,22
210,S-1966-3,1966,3,Third Division,None,Queens Park Rangers,24
211,S-1966-4,1966,4,Fourth Division,None,Stockport County,24
212,S-1967-1,1967,1,First Division,None,Manchester City,22
213,S-1967-2,1967,2,Second Division,None,Ipswich Town,22
214,S-1967-3,1967,3,Third Division,None,Oxford United,24
215,S-1967-4,1967,4,Fourth Division,None,Luton Town,24
216,S-1968-1,1968,1,First Division,None,Leeds United,22
217,S-1968-2,1968,2,Second Division,None,Derby County,22
218,S-1968-3,1968,3,Third Division,None,Watford,24
219,S-1968-4,1968,4,Fourth Division,None,Doncaster Rovers,24
220,S-1969-1,1969,1,First Division,None,Everton,22
221,S-1969-2,1969,2,Second Division,None,Huddersfield Town,22
222,S-1969-3,1969,3,Third Division,None,Leyton Orient,24
223,S-1969-4,1969,4,Fourth Division,None,Chesterfield,24
224,S-1970-1,1970,1,First Division,None,Arsenal,22
225,S-1970-2,1970,2,Second Division,None,Leicester City,22
226,S-1970-3,1970,3,Third Division,None,Preston North End,24
227,S-1970-4,1970,4,Fourth Division,None,Notts County,24
228,S-1971-1,1971,1,First Division,None,Derby County,22
229,S-1971-2,1971,2,Second Division,None,Norwich City,22
230,S-1971-3,1971,3,Third Division,None,Aston Villa,24
231,S-1971-4,1971,4,Fourth Division,None,Grimsby Town,24
232,S-1972-1,1972,1,First Division,None,Liverpool,22
